2 492 28 -0.00780875134098 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'X11TopmostWindowFinderTest.NonRectangularNullShape')
5 24 792 0.0083204671123 ('ExtensionCrashRecoveryTest.ShutdownWhileCrashed', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
11 334 719 -0.0893662059164 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'WidgetTestInteractive.RestoreAfterMinimize')
1 1 1 1.0 ('OmniboxViewTest.EscapeToDefaultMatch', 'OmniboxViewTest.FocusSearchLongUrl')
2 40 719 -0.0255744082829 ('ExtensionCrashRecoveryTest.TwoExtensionsCrashFirst', 'WidgetTestInteractive.RestoreAfterMinimize')
1 1 8 0.35329581927 ('NotificationsApiTest.TestCSP', 'SitePerProcessTextInputManagerTest.TrackStateWhenSwitchingFocusedFrames')
1 42 719 -0.0331057795699 ('ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently', 'WidgetTestInteractive.RestoreAfterMinimize')
2 42 334 -0.00807241626244 ('ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
1 36 334 -0.0142471522105 ('ExtensionCrashRecoveryTest.TwoExtensionsOneByOne', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
1 334 21 -0.00569552360551 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'WebViewInteractiveTests/WebViewInteractiveTest.KeyboardFocusWindowCycle/1')
3 41 719 -0.019869111947 ('ExtensionCrashRecoveryTest.ReloadTabsWithBackgroundPage', 'WidgetTestInteractive.RestoreAfterMinimize')
5 42 792 -0.0115689297176 ('ExtensionCrashRecoveryTest.TwoExtensionsReloadIndependently', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 31 45 0.0191555693191 ('ExtensionCrashRecoveryTest.CrashAndUninstall', 'ExtensionCrashRecoveryTest.ReloadIndependently')
3 334 141 -0.0329559933623 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/1')
1 596 141 -0.0616575835814 ('PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/1')
1 54 32 0.0155477383989 ('ExtensionCrashRecoveryTest.ReloadIndependentlyNavigatePage', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.FocusAndVisibility/1')
1 5 596 0.00744263492803 ('AutofillInteractiveTest.AutofillAfterTranslate', 'PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword')
1 4 129 0.0398517375613 ('AutofillInteractiveTest.FormFillableOnReset', 'WebViewInteractiveTests/WebViewInteractiveTest.TextSelection/0')
3 596 163 -0.0600193955134 ('PasswordGenerationInteractiveTest.AutoSavingGeneratedPassword', 'SitePerProcessInteractiveBrowserTest.TabAndMouseFocusNavigation')
1 31 334 -0.0117943083402 ('ExtensionCrashRecoveryTest.CrashAndUninstall', 'PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification')
1 87 40 0.00474228582031 ('AppListTest.PressAppListButtonToShowAndDismiss', 'BrowserFocusTest.FocusOnNavigate')
6 41 792 -0.00460502839109 ('ExtensionCrashRecoveryTest.ReloadTabsWithBackgroundPage', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 52 68 0.00450267713972 ('ExtensionCrashRecoveryTest.TwoExtensionsCrashBothAtOnce', 'MenuModelAdapterTest.RebuildMenu')
1 194 21 0.00244407983494 ('MouseLeaveTest.ModalDialog', 'WebViewInteractiveTests/WebViewInteractiveTest.KeyboardFocusWindowCycle/0')
2 94 2 0.144461824291 ('BridgedNativeWidgetUITest.FullscreenEnterAndExit', 'PlatformNotificationServiceBrowserTest.GetDisplayedNotifications')
3 492 8 0.0367261255828 ('BrowserFocusTest.BackgroundBrowserDontStealFocus', 'GlobalCommandsApiTest.GlobalCommand')
1 94 2 0.0707902786334 ('BridgedNativeWidgetUITest.FullscreenEnterAndExit', 'PlatformNotificationServiceBrowserTest.WebNotificationSiteSettingsButton')
1 334 5 0.0165632575962 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'SitePerProcessInteractivePDFTest.ContextMenuPositionForEmbeddedPDFInCrossOriginFrame')
1 194 19 0.00392879301491 ('MouseLeaveTest.ModalDialog', 'NotificationsTest.TestShouldDisplayMultiFullscreen')
1 45 33 0.0180800862707 ('ExtensionCrashRecoveryTest.ReloadIndependently', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashSecond')
1 8 792 -0.00437604471824 ('GlobalCommandsApiTest.GlobalCommand', 'TabDragging/DetachToBrowserTabDragControllerTest.DragToSeparateWindow/0')
1 2 1 0.707033212359 ('BrowserFocusTest.TabInitialFocus', 'NotificationsApiTest.TestEvents')
2 54 33 0.0389487670613 ('ExtensionCrashRecoveryTest.ReloadIndependentlyNavigatePage', 'ExtensionCrashRecoveryTest.TwoExtensionsCrashSecond')
1 54 28 0.0177798093971 ('ExtensionCrashRecoveryTest.ReloadIndependentlyNavigatePage', 'X11TopmostWindowFinderTest.NonRectangularNullShape')
1 3 194 0.0372024887725 ('BrowserActionInteractiveTest.TestOpenPopupIncognitoFromBackground', 'MouseLeaveTest.ModalDialog')
1 334 17 -0.00249719959094 ('PlatformNotificationServiceBrowserTest.UserClosesPersistentNotification', 'WebViewInteractiveTests/WebViewInteractiveTest.KeyboardFocusSimple/1')
