1 5 9 0.148791197964 ('WebViewInteractiveTests/WebViewInteractiveTest.EditCommands/1', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_DiscardAfterOpenerDestroyed/0')
1 5 9 0.148791197964 ('QuitWithAppsControllerInteractiveTestInstance/QuitWithAppsControllerInteractiveTest.QuitBehavior/0', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_WebRequest/1')
1 5 9 0.148791197964 ('QuitWithAppsControllerInteractiveTestInstance/QuitWithAppsControllerInteractiveTest.QuitBehavior/0', 'WebViewInteractiveTests/WebViewFocusInteractiveTest.Focus_FocusRestored/0')
1 5 9 0.148791197964 ('QuitWithAppsControllerInteractiveTestInstance/QuitWithAppsControllerInteractiveTest.QuitBehavior/0', 'QuitWithAppsControllerInteractiveTestInstance/QuitWithAppsControllerInteractiveTest.QuitBehavior/1')
2 9 20 0.14851467938 ('BrowserActionInteractiveTest.TestOpenPopupDoesNotGrantTabPermissions', 'SitePerProcessInteractiveBrowserTest.ShowAndHideDatePopupInOOPIFMultipleTimes')
2 15 12 0.148507330992 ('BrowserCommandControllerInteractiveTest.UnpreservedShortcutsShouldBePreventable', 'PasswordGenerationInteractiveTest.PopupShownAndPasswordSelected')
3 27 15 0.148230619549 ('OmniboxViewTest.ClearUserTextAfterBackgroundCommit', 'OmniboxViewTest.Paste')
2 13 14 0.147681771983 ('SitePerProcessInteractiveBrowserTest.SequentialFocusNavigation', 'SitePerProcessTextInputManagerTest.TrackSelectionBoundsForAllFrames')
3 28 15 0.145526975588 ('OmniboxViewTest.AcceptKeywordBySpace', 'OmniboxViewTest.Paste')
2 19 10 0.144517699387 ('WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_DeferredAttachment/1', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_NoName/0')
2 19 10 0.144517699387 ('PasswordGenerationInteractiveTest.GenerationTriggeredInIFrame', 'SitePerProcessInteractiveBrowserTest.SubframeKeyboardEventRouting')
2 19 10 0.144517699387 ('PasswordGenerationInteractiveTest.GenerationTriggeredInIFrame', 'PermissionBubbleInteractiveUITest.CmdWClosesWindow/Views')
1 8 6 0.144045053991 ('TestAsNormalAndGuestUser/SpokenFeedbackTest.TouchExploreStatusTray/0', 'TestAsNormalAndGuestUser/SpokenFeedbackTest.TouchExploreStatusTray/1')
1 8 6 0.144045053991 ('NotificationsTest.TestNotificationReplacement', 'OmniboxViewTest.TabAcceptKeyword')
1 8 6 0.144045053991 ('AutofillInteractiveTest.DontAutofillForOutsideClick', 'OmniboxViewTest.PersistKeywordModeOnTabSwitch')
1 7 7 0.142560568293 ('NotificationsTest.TestPermissionRequestUIAppears', 'WebViewInteractiveTests/WebViewNewWindowInteractiveTest.NewWindow_AttachAfterOpenerDestroyed/1')
1 7 7 0.142560568293 ('NotificationsApiTest.TestCSP', 'PopupBlockerBrowserTest.PopupBlockedFakeClickOnAnchorNoTarget')
